"Index","Date","Person","InterviewType","Winner","Text","PersonType"
1,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: If that's what you want, man, write whatever story you want.  I don't even give a damn.  Just unbelievably blessed.  Obviously I take family very seriously and hold it dear to my heart, so it came at a great time.  And there's a lot of other things that go into that.  I won't bore you with the details, but that's the story you like so be it","Player"
2,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: It's all of those things.  You nailed it.  There's no one thing.  We have a lot of talent, we're very deep team.  You go down this roster, there were guys who didn't even play who are very capable.  We have a lot of talent.  When that talent works hard and goes out there and pays it forward every day, then have you a chance to be special.  And then when you're tied in and your coaching staff gives you good game plans, and you go out there and try to execute, and you work together, the sky's the limit.  And we were able to do that over the course of the playoffs","Player"
3,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: We're NBA champions so if that makes you a super team I'll take it.  People don't view us that way because it's untraditional.  It's not the glam stars.  None of our guys probably, other than Kawhi, are in that big boy club or the fan boy club of the NBA.  We got guys who had to get it the long way, who had to get it out of the mud, who had to get it against the grain.  And we got a team full of them coming from all different places, all walks of life, all different life stories to get to this moment.  But we got some talent, we got some talent for sure.  And at the end of the day going out there in the playoffs is about performing at a high level, and we were able to do that over the course of two months","Player"
4,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: I think it allows you to lock in a little bit better.  I think it allows you to have that us against the world mentality where the only thing that matters is the guy next to you.  And your crowd being anxious and excited doesn't have any affect on you when you're on the road.  It takes a different level of effort, and I think that for us going on the road it allowed us to take it up a notch more than what we usually do.  You can't rely on the crowd to give you runs or to give you energy, you got to go out there and do it yourself.  Usually winning a NBA championship you're going to have to win some games on the road and we were able to do that","Player"
5,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: Yeah.  Just try to pay our respects and shake most of those guys' hands as best you can.  He was kind of the first guy I was next to.  Just obviously letting him know how much respect and admiration I have for him and vice versa.  We compete, we really compete together, we compete on this stage.  And those guys are super competitors, as are we.  So to be able to just in defeat, their guys are very gracious, and they know what it takes to get to this stage, so they were very congratulatory as well","Player"
6,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: Yeah.  I just tried to own up to it.  I tried to live up to it.  It's a big task, it's a big assignment, and I know what it meant to our team.  So I did pretty good over the course of the series.  He got loose, it felt like he scored a thousand points on me.  As a defender you never like getting scored on, so that was tough.  And it's obviously the toughest guy I had to guard for that long every game, all game, a million screens, it's hard to push and grab, he's so good at drawing fouls.  So I just tried to live up to the challenge and accept the challenge and hopefully I gained some respect there and just tried to help my team get wins","Player"
7,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: He's our head coach.  He's our head coach.  And you guys kill head coaches when we lose.  Coaches get all the blame, and when we win players get all the credit, so that's just how it goes.  But Nick has been unbelievable.  He's kind of been the captain of the ship, and he's weathered the storms, and he's kept us even-keeled, and he's made some unusual adjustments and experimented things.  And some things worked and some things didn't, but he was trying.  He tried everything and you got to give that guy a lot of credit in his first year to win a NBA championship.  Also want to give Coach Casey a lot of credit for building this team up to what it was, the guys who were here before, DeMar, JV, Delon, Jakob, the guys who we built this up to what it was, and then to be able to take it to the next level this year, give Nurse a lot of credit for steering that ship.  Don't ask no damn question back there","Player"
8,2019-06-13,"Fred VanVleet","Postgame","Toronto Win","FRED VANVLEET: Um, it's unbelievable, man.  It's unbelievable to have guys like Kyle Lowry on your team who step up and go for 15 in the first quarter.  But he should have had 50.  But he slowed down, so I just wanted to come out there in the second half and bail him out and just try to help him for his legacy.  They killed my man all the time in the playoffs.  He gets more slandered than anybody I ever seen in the league.  And so to have him be able to hold that trophy up tonight, that's what means the most for us","Player"
9,2019-06-13,"Pascal Siakam","Postgame","Unknown","PASCAL SIAKAM: I think that it meant a lot, just having guys from different countries and speaking different languages. I think it kind of got us closer together. And you kind of have all those little kind of friendship with guys that you can speak the same language with, and from Spanish to French to English, different cultures. And I think kind of it represents Toronto in general, having that diversity","Player"
10,2019-06-13,"Pascal Siakam","Postgame","Unknown","PASCAL SIAKAM: Yeah, hopefully I can take it in a little bit minute by minute. The champagne makes it hard. But it's amazing, it's amazing, just excited, happy, kind of like seeing -- it's hard to just sit down and think about everything. But just the hard work and everything you put in, to be able to be here at this level and be able to win, it's a dream, it's a dream. And it feels amazing to be able to realize your dreams","Player"
11,2019-06-13,"Pascal Siakam","Postgame","Unknown","PASCAL SIAKAM: I think we have, as a team, obviously, we have the best player in the league and the best player in these playoffs in Kawhi Leonard. But I think together we have this unit, a bunch of guys that will go out there and, they weren't top picks or whatever the case might be. But guys that just go out there and work every single day and try to be the best that they can be and unselfish. And it didn't matter in the beginning of the season, Marc starting or Serge starting, and we had that change. And every single time everyone sacrificing everything for the team and the greater good. I think that's what makes us so special, just that we are a team and that's what makes us dangerous","Player"
12,2019-06-13,"Pascal Siakam","Postgame","Unknown","PASCAL SIAKAM: I think credit to him, just using the pieces that he had and kind of seeing me being able to do different things on the floor and kind of exploring that and giving me a chance to go out there. Not only me, but giving the confidence to guys like Fred and Norm and everyone, kind of feeling like it's an equal opportunity type of team. Obviously knowing who our best player is, but just continuing to trust each other and having that mindset that at any time anyone can go off. And he kind of gave us that freedom. So that's credit to him and he's been able to do a good job of that","Player"
13,2019-06-13,"Pascal Siakam","Postgame","Unknown","PASCAL SIAKAM: For me it's a lot of ups and down, man. And I think that's what makes the journey so exciting, just because you know you're not at your best, like you're not the best that you can be. I think for me as a player, young player, just going out there every single day knowing that, I'm knowing here where like how good I can be. And it kind I have gives me the opportunity to go out there and learn every single day, make mistakes and have bad games, but just continue to trust my work and everything that I put in to be here at this level, knowing that I deserve to be here at this level, and kind of like working every single day to be the best player that I can be. I'm going to have bad games, I'm going to miss shots, a lot of them. But at the same time, I just have to have the confidence to go out there and be myself and play the game that I love. And I think everything will always be okay when I do that","Player"
14,2019-06-13,"Pascal Siakam","Postgame","Unknown","PASCAL SIAKAM: Oh, man, I think it means a lot. I think that's one of the reasons why I'm here and I have this flag representing Cameroon and Africa. I think for me as a kid I didn't have the opportunity to dream about this moment. I didn't think I could make it. I didn't think this was possible as a kid. And I think a lot of kids don't think that it's possible. Just me being able to be here today and telling them that, hey, look at me, I was a little scrawny kid from Cameroon and just had -- I couldn't even think about this moment. But here I'm at as a champion. And I just want to tell them that it's possible and that if you believe in something, go out there and work hard for it. It might sound cliché, but it's the truth. I'm the proof.","Player"
15,2019-06-13,"Nick Nurse","Postgame","Toronto Win","NICK NURSE: Yeah.  It was a heck of a 12 months.  And I don't know, I just try to take things as they come.  Didn't look too far ahead.  Obviously when we made some a additions to the team, we thought we could be good, but we had no idea what the health status was and all those things.  Again, you just got to go take the guys you got and go play and manage it the best you can.  And then look at the opponents and try to figure out a way to beat them.  It was a great group, though.  They really played together.  I thought they really fought hard, they were tough-minded.  They didn't seem like this was wearing on them at all.  Two months of playoff basketball, they never seemed tired to me.  Mentally they kept wanting film sessions, they kept wanting to walk through things, they kept wanting to keep learning and improving.  And I think that was a big key because we had to do that in the playoff run because we really hadn't had all that much time together","Coach"
16,2019-06-13,"Nick Nurse","Postgame","Toronto Win","NICK NURSE: Well, first of all, you're right.  I think that you thought, get through the East and the chances were you were going to be playing Golden State.  I mean, I probably stayed up late and watched Golden State more than anybody just for the heck of it.  Just to see what they were doing and all that kind of stuff.  I don't know, it means a lot for our city and the country and for these players, staff.  An incredible group of people, my assistant coaches and the support staff.  And I don't know if it would have meant any more or any less, to be honest with you.  You get the win and you're just happy you got it and celebrate that fact","Coach"
17,2019-06-13,"Nick Nurse","Postgame","Toronto Win","NICK NURSE: A hundred percent.  That was hard on them.  I think they had a rough year injury-wise, and they kept playing.  They got through some playoff rounds and guys in and out.  And obviously a lot of things, a lot of bad breaks in The Finals, to be honest.  Like us, they kept on playing.  We just had to keep on playing no matter who was out there.  And I think they were super intense high level games and both teams desperately trying to win.  I have a tremendous amount of respect for Coach Kerr and his staff and their players, for sure","Coach"
18,2019-06-13,"Nick Nurse","Postgame","Toronto Win","NICK NURSE: Well, I would hope it inspires some people that are in those situations to keep working.  I always say that all those jobs meant the world to me at the time, right, winning with Birmingham in '96, winning with Rio Grande Valley, whatever year that was.  And those games and jobs meant the world to me and I loved all those jobs.  I think you can't do very good work if you don't love what you're doing.  I just, I don't know, and I never really got discouraged.  I didn't really care at the level I was coaching at, I was just trying to learn and get better.  That's it.","Coach"
19,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Yeah, it's great working for him.  He's set the goals very high for our organization, similar to what the goals that our staff and our players set, so that's good to be in alignment with where we're thinking, where we want to go.  And you're right, he's put together a heck of a roster and some great players and the blend is really good.  So I've enjoyed working with him this year","Coach"
20,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Great question.  I mean it is something you bat back and forth a little bit because you think, here's another coverage we could use or another matchup or we could flip in and out of this coverages or whatever defense we decide to play.  Or you just say, gosh, if we just would run down a few more 50/50 balls or shoot a little bit better from three or take care of the ball, you know, some tangible intangibles, do those just a little bit better then you're probably good.  Then you sit and you look and say, geez, you only scored 106 points and you lost the game.  106 against these guys is pretty good, you should think you got to score 107 or more, right?  So it's a really good question and you battle it back and forth of do you just kind of stick with what you've been doing and try to do it a little bit better, or do you try to break out a couple new things this late in a series.  I'm still debating on that","Coach"
21,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Yeah.  I just, it seems like we haven't talked about it as much.  You're right, in the Milwaukee series I remember saying that about every other meeting like this that we had.  It is still critical because, again, the transition against these guys is so hard, right.  You're really racing back.  If you turn it over you're in trouble.  They're coming fast and usually dotting you with a three ball.  If you don't score in stretches, they're playing with it off the rim on long rebounds or whatever and again they're coming hard.  And everybody's seen when Green gets one, he's going to push it and it's going to be super fast pace.  And they got some guys that can shoot it on the kickout.  So it really is critical for us to, A, take care of it, and B, score it fairly consistently so we can make them take it out of the net some","Coach"
22,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Yeah.  I mean, and again, I think we have taken care of it pretty well.  You always want to cut down on the turnovers no matter what number you end up with.  But pretty good, right?  We have generated a lot of shots at the rim, we have got to the free-throw line, we have got, from what I consider for the most part, pretty good looks from behind the three-point line.  We have got to shoot them a little bit better than we did in the last game for sure","Coach"
23,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: I'm not worried about that at all, right.  I think he's proven all playoffs long that, and even all season long, that he's a prime time player.  The other night I just if you want me to be totally candid, I wasn't happy with his defensive effort.  I thought he just could have done more.  He could have been more active, he could have got down in his stance earlier and more often, and just been more of a problem at that end.  And that's why he wasn't in there at the end","Coach"
24,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Thanks for bringing that night up.  Appreciate that.  We got our doors blown off down there.  I haven't thought about that night much, but I do, the playoff games, we have had some up and down moments as everybody has.  This team we're playing tonight has had some really up and down moments in the playoffs.  That's the nature of this.  I think if I'm close to correct, our last regular season game was two months ago.  So two months of basketball's going to be some ups and downs in it.  I just, after that San Antonio loss, we got on a plane and went to Milwaukee and beat them.  We bounced right back.  And that's what we normally do.  That's what we have normally done in the playoffs.  And this is a strong minded, tough-ass group of guys.  It really is.  And I'm looking forward to watching them play tonight","Coach"
25,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Yeah.  I mean I just, you come in there after a loss, and the importance everybody places on home court, and you really had a chance to grab ahold of the series and all of a sudden you're even.  Like they have considered it a huge triumph to come and get one of the two.  They're 1-1 and got the momentum of the series.  And just so it doesn't seem as disastrous as it may appear on the outside, you just try to calm down and say, hey, we just got to get one.  We got to get one, that's all we got to do.  We know we can do that.  That's it.  I'm not trying to, I don't say a whole lot after games.  And some of it we just say it to wrap it up and then get on with it and we start looking at the film and really digging in the next day","Coach"
26,2019-06-13,"Nick Nurse","Pregame","N/A","NICK NURSE: Well, it's not really my area or putting together the team or my thought process.  My job is to take the team Masai and Bobby put together and get those guys to max out what they can do, get them to play together, get them to play tough defense, get them to share the ball and get them to handle adversity with some calmness and handle triumph with some calmness.  And then you got to look at who you're playing and you got to try to figure it out.  I was telling somebody today, I said you look at these things and you say, Jesus, I don't know how we're going to beat these guys.  And then you say God, there's got to be a way we can figure it out.  In two sentences you go from one end to the other and that's what the job is.  You got to respect how good the team is you're playing, because they are, how well coached they are, how tough it is to win these games.  And then you got to prepare your guys the best you can and then let them go at it.","Coach"
27,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: When he made the trade as a friend of mine, my emotions was there, but I understood that I had to go to work, and I still played for the Toronto Raptors.  So I knew that that's my job, my job was to go out there and to be the best basketball player I could be.  How I feel now is we won the championship.  I mean it's a great feeling","Player"
28,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: Words can't explain how I feel.  It's been a long, long time.  13 years of NBA basketball.  Couple years of college.  A couple years of high school basketball.  And to be able to say I'm a world champion, it makes me feel great.  And to do it with the group of guys that we did it with is amazing, like it's just kind of still surreal.  Kind of, it hasn't hit me yet.  I'm still kind of in this moment of just like is this real yet?  And for me just at the end of the day, I work extremely hard on my game, I work extremely hard on myself, and I am extremely hard on myself.  And I'm happy to be able to say I'm a champion and it's been a long time coming","Player"
29,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: People got their own opinions.  They can say what they want to say.  They always have.  I hear them, I listen, but they don't affect my life.  Everyone has their own opinions.  And I go out there and I do my job to the best of my abilities.  And the people that know, my teammates, the organization, they know what I bring to the table, and they appreciate what I do and what I've done.  And I score zero points, people blah, blah, blah, I do this, I don't score.  I understand what people say, I hear them.  But if we win a game and we win as a group, then that's all that matters.  Winning is all that matters to me.  And I'm at the highest level winning right now","Player"
30,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: I took what the game was going to give me, but I wanted to be aggressive.  I look back at every game we've played and that we've won I've shot double figure times.  And I was more aggressive.  The games, I think besides Game 1, but other games, all the other games we won, I was more aggressive offensively, makes or misses.  But people thought that we were kind of be like oh, man, we gave away Game 5.  But the group of guys that we have, we have been able to stay level-headed the whole time and understanding that we had a team that was going to come out here and play extremely hard, fans were going to be loud, and they were going to fight to the death.  That's the one thing about that group, they fought to the death.  And they got some great guys down there, great coaches, and we tip our hats to those guys because they, they're the definition of champions","Player"
31,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: How tough, I mean it's a lot, he's unable believably good, he's been showing that all year.  There's nothing you can -- he's shown us this all year.  Yeah, he's a NBA Finals MVP again","Player"
32,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: It's kind of crazy.  There's a lot of guys that has this same journey and they haven't been able to get to this point.  I'm just so happy to be able to be a part of it and to say I'm a NBA champion.  I don't take it for granted at all.  I know how hard it's been, how hard it is to get here.  I know how hard it takes and it takes some luck also.  And it takes some purified professionals just to go out there and keep going and working and trying to get it done.  I'm happy to be a part of that fraternity now to say I'm a champion","Player"
33,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: No.  I always wanted to keep working, I love this game, I love this job, I love my life.  I just continue to grow, just continue to get better as a man, as a basketball player, as an individual","Player"
34,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: I don't drink, so I didn't want to partake.  I did a couple sprays and I wanted to make sure that everybody, we all, I was in there a little bit.  And for this basketball, I'll make sure that we'll put that one in the practice gym or somewhere and have it done up to say 2019 NBA champions.  That one will be displayed somewhere in Toronto","Player"
35,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: The city of Toronto, the country, the country of Canada, we did it, we brought it home and we want everybody to celebrate, celebrate safely","Player"
36,2019-06-13,"Kyle Lowry","Postgame","Toronto Win","KYLE LOWRY: When he texted me it was a quick text and just showed the type of person he is.  Willing to reach out, understanding that this situation was a little bit sensitive.  But he knew that he felt something could be done special with our group and I don't know nothing about the Drake curse.  That's my homey, that's my friend, so I don't know nothing about a curse.  Thank you.","Player"
37,2019-06-13,"Kawhi Leonard","Postgame","Toronto Win","KAWHI LEONARD: We all know where my destinations were.  But obviously like I said, when I was there on my opening day meeting that I was focused on the now, and I wanted to make history here and that's all did I.  I just, I'm still playing basketball no matter what jersey I have on.  And the guys here have been making runs in the playoffs before I came, so I know they were a talented team.  And I just came in with the right mindset, let's go out and win ball games.  I texted Kyle probably a day later -- or the day that I got traded and told him I said let's go out and do something special.  I know your best friend left, I know you're mad, but let's make this thing work out.  And we are here today","Player"
38,2019-06-13,"Kawhi Leonard","Postgame","Toronto Win","KAWHI LEONARD: Well, first, I'll start with Klay.  I hope he's okay.  I never want to see a good friend of mine go out like that.  I hope he's able to recover from it or it's nothing serious.  And when he went down I just really thought about him.  I didn't care about the game that much.  Once he left, you just, we got to flip our mindset back to trying to beat the Warriors.  So that's what I did.  With the shot with Steph, it didn't look like it was a good shot.  I mean he hits those shots, but I wasn't too worried about it at that moment.  Obviously he can make that.  He made it millions of times, but I just was focused on the rebound.  I've been in situations like that in a Finals that I lost by two or three points, and we lost that game because of rebounds.  I forgot who shot the ball, you guys know the story.  It was the last two possessions for Miami, they got two chances to shoot threes -- well, four chances at the basket out of two possessions.  And that was my fault because I was trying to get the rebound.  And once he missed the ball I tried to keep tipping it so some more time could run out.  Didn't want to grab it right away so they could foul me.  And Draymond ended up waiting with .9 seconds and called a timeout and kept moving from there","Player"
39,2019-06-13,"Kawhi Leonard","Postgame","Toronto Win","KAWHI LEONARD: Well, just the year, last year, a lot of people were doubting me.  They thought I was either faking an injury or didn't want to play for a team.  That was disappointing to go me that that was out in the media, because I love the game of basketball.  Like I always say, if we're not playing this game, if we're hurt, I mean you're down.  So me just going through that, and I just knew that I would have to make myself happy and no one else.  And I have to trust myself.  And whatever, it doesn't matter what anybody has to say about me.  I know who I am as a person, I know how I feel, and always just trust yourself.  And that was my goal and my focus.  And that's why one of the things that I take on the floor.  I don't care about what the media has to say about me or if they want me to score or whatever, 30 points, because I did the game before, I'm going to come out and play the right way, I'm not trying to make headlines.  And that's just things that I pretty much learned just throughout this journey of being in the NBA.  So that's how I just keep growing up as a man and that's why I say, I just think about my past life and try to learn from situations and be wise and learn from others","Player"
40,2019-06-13,"Kawhi Leonard","Postgame","Toronto Win","KAWHI LEONARD: It meant a lot.  Like I said, last summer was tough.  I was still rehabbing and just trusted the process, really, with myself.  I told myself I would be back.  I wasn't going to come back until I could be the player I am today.  I wanted to come back in the same shape and form without coming out playing five games and then re-injuring something.  I wanted to be able to play the season -- or what did I this year.  I wasn't able to play 82, but I'm happy that I got to the 60 games.  Just being able to win this championship this year is just something special for me because you know how the last year everybody was looking at me, and I stayed true to myself, and I had a great support system.  And once I got here to Toronto they understood everything and kept moving from there","Player"
41,2019-06-13,"Kawhi Leonard","Postgame","Toronto Win","KAWHI LEONARD: That was very special.  Obviously I didn't come out in this series trying to win it.  It was a whole group collectively.  Tonight Fred played amazing in that fourth.  Kyle played amazing tonight throughout the whole game.  Pascal played big.  I just kept striving and pushing and I ended up with the trophy but everybody deserves it.","Player"
42,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: Yeah.  I mean more than the what ifs is just feeling bad for the players involved.  Injuries are always part of the NBA season -- any professional sport, injuries play a huge role.  It's just the nature of these injuries, the severity of these injuries.  And we'll know more about Klay.  But we can sit here and say, well, if this hadn't happened or that hadn't happened, that doesn't matter.  What matters is Kevin Durant is going to miss next season with an Achilles tear and Klay suffered a knee injury.  And we'll know, as I said, we'll know more before too long.  But it's just brutal.  It's just brutal of what these guys have had to deal with and what they're dealing with right now.  So that's my initial feeling","Coach"
43,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: It's amazement that we're sitting in this position with, during the game we have a chance to win the game and force a Game 7 and go back to Toronto, and you just think, how?  How has this group of guys put themselves in position to do it.  And then as I said, when Klay goes down and is out for the game, it's just sort of a, you got to be kidding me, like this has to stop.  But it's just the way it's gone.  I don't know if it's related to five straight seasons of playing a hundred plus games and just all the wear and tear, but it's devastating","Coach"
44,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: Well, I think what happened was he wasn't aware of the rule that if you don't shoot the free throws, you can't come back in the game.  So I think somebody told him in the hallway.  Klay being Klay he just turned right around and came back and shot the free throws.  And we committed the automatic foul to get him out of the game and he came back and he told me just two minutes.  I think there was just two minutes left in the third, and he said just a two minute rest, I'll be ready.  And next thing I heard was he was done for the night from Drew Yoder, our trainer","Coach"
45,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: Doesn't matter.  He went down","Coach"
46,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: Well, they're a gifted, competitive group.  And even without the injured players, even without Klay, even without KD you look out on the floor you still got a lot of great basketball players.  Andre had a huge night for us.  We had to have that.  Somebody had to come in and score for us tonight.  Andre did that.  Draymond was fighting like crazy all night.  Looney with a fractured chest cartilage, fighting and fighting and fighting.  I thought DeMarcus came in, gave us good minutes.  So we just kept going and I think our guys relied on their experience of being in this moment.  They don't get nervous.  I think they just keep playing and we had a chance.  So they fought and gave it every opportunity","Coach"
47,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: I just thought it was in.  I always think every shot Steph takes is going in.  But they don't all go in.  But what a warrior, no punch intended.  Steph was getting hounded this entire series.  Toronto did a great job on him sending two, three people at him, hounding him and harassing him.  And especially without Klay to rely on in that fourth quarter, I thought he got a little worn down","Coach"
48,2019-06-13,"Steve Kerr","Postgame","Toronto Win","STEVE KERR: I thought, I was really pleased with the way DeMarcus performed the last couple games.  He came in and gave us huge minutes and gave it everything he had, committed himself to the team and came off the bench and kept us going when we needed him.  So tough season for him in terms of coming off the injury.  And then getting injured again in the playoffs.  So it was not easy for him, but I think he contributed and I think he learned a lot and I think our guys really enjoyed being around him.  I know I did.  He helped us, he helped us win a lot of games.","Coach"
